name,classification,thc_percent,cbd_percent,cbg_percent,average_rating,rating_count,effects,medical,flavors,terpenes,lineage,awards,grow_info_yield,grow_info_height,grow_info_difficulty,grow_info_flowering_time_weeks,description,url
Blue Z,Indica,14,,,4.6,158,"Relaxed;Hungry;Sleepy","Anxiety;Stress;Pain","Berry;Flowery;Sweet","Myrcene;Pinene;Caryophyllene","Blue Diamond;The Original Z",,medium,medium,moderate,,"Blue Z, also known under an infringing candy name is an indica marijuana strain made by crossing Blue Diamond with The Original Z. This odoriferous flower offers a terpene profile of tart citrus, sweet earth, and wildflowers. The effects of Blue Z are mellow and moderately sedating, stimulating appetite while weighing heavy on the limbs. This strain offers a combination of strong physical effects and uplifting mental high which make it a perfect end-of-the-day strain and a nice match for folks contending with stress, restlessness, and pain.",https://www.leafly.com/strains/blue-zkittlez
Blueberry,Indica,17,,,4.3,2449,"Sleepy;Relaxed;Happy","Stress;Pain;Anxiety","Blueberry;Berry;Sweet","Myrcene;Caryophyllene;Pinene","Purple Thai;Thai",High Times’ Cannabis Cup 2000 for Best Indica,medium,medium,easy,8,"Blueberry, also known as ""Berry Blue,"" is an indica marijuana strain made by crossing Purple Thai with Thai. A true A-List cannabis strain, Blueberry’s legendary status soared to new heights after claiming the High Times’ Cannabis Cup 2000 for Best indica. The long history of the strain goes back to the late 1970s when American breeder DJ Short was working with a variety of exotic landrace strains. However, throughout the decades of Blueberry’s cultivation, the genetics have been passed around, due in large part to DJ Short working with multiple seed banks and breeders. The sweet flavors of fresh blueberries combine with relaxing effects to produce a long-lasting sense of euphoria. Many consumers utilize the effects of Blueberry to help contend with pain and stress, while connoisseurs and growers admire the strain for its colorful hues and high THC content.",https://www.leafly.com/strains/blueberry
Blueberry Afgoo,Hybrid,12,3,,4.8,18,"Sleepy;Tingly;Happy","Stress;Anxiety;Depression","Chemical;Blueberry;Berry","Caryophyllene;Myrcene;Limonene","Blueberry;Afgoo",,medium,medium,easy,,"Blueberry Afgoo is an Indica-dominant hybrid weed strain made from a genetic cross between Blueberry and Afgoo. Bred by Fitchburg, Blueberry Afgoo is 12% THC, making this strain an ideal choice for beginner cannabis consumers. Leafly customers tell us Blueberry Afgoo effects make them feel tingly, sleepy, and happy. Medical marijuana patients often choose Blueberry Afgoo when dealing with symptoms associated with pain, inflammation, and insomnia. The dominant terpene of this cannabis strain is caryophyllene. Blueberry Afgoo features a berry aroma and flavor profile of blueberry, and chemicals.",https://www.leafly.com/strains/blueberry-afgoo
Blueberry Cake,Hybrid,24,0.1,0.2,4.5,120,"Relaxed;Happy;Euphoric;Uplifted","Stress;Anxiety;Depression;Pain","Sweet;Berry;Vanilla;Earthy","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene","Blueberry;Wedding Cake",,Medium,Medium,Moderate,8,"Blueberry Cake is a delicious hybrid strain that combines the sweet flavors of Blueberry with the rich notes of Wedding Cake, offering a balanced high that is perfect for relaxation and enjoyment.",https://www.leafly.com/strains/blueberry-cake
Blueberry Cheesecake,Hybrid,17,,,4.3,289,"Relaxed;Happy;Euphoric","Stress;Anxiety;Pain","Cheese;Blueberry;Blue Cheese","Myrcene;Caryophyllene;Humulene","Blueberry;Cheese",,medium,medium,moderate,,"Blueberry Cheesecake, also known as ""Blue Cheesecake,"" is a hybrid marijuana strain. With a smell distinctly of blueberry cheesecake, this strain was bred from Blueberry and Cheese. According to growers, Blue Cheesecake flowers into lime green and dark violet buds with orange hairs and a large coat of crystals. The effects of Blueberry Cheesecake will make you feel happy, relaxed, and euphoric. Medical marijuana patients choose this strain to help symptoms associated with stress, pain, and anxiety.",https://www.leafly.com/strains/blueberry-cheesecake
Blueberry Cookies,Hybrid,16,,,4.6,192,"Tingly;Relaxed;Euphoric","Stress;Anxiety;Pain","Nutty;Blueberry;Mint","Myrcene;Pinene;Caryophyllene","Blueberry Tahoe;Thin Mint GSC (f.k.a. Girl Scout Cookies)",,medium,medium,moderate,,"Blueberry Cookies is an indica-dominant hybrid created by crossing Blueberry Tahoe and Thin Mint GSC (f.k.a. Girl Scout Cookies). This strain’s unique flavor is a mixture of roasted nuts, mint, and fresh blueberries, while the bouquet provides an earthier, berry-forward aroma. Blueberry Cookies tends to hit the consumer in the body with mid-level sedative effects that are relaxing without being cumbersome. The mental state is often heady and creative, offering a distraction from stress. Blueberry Cookies is often recommended for consumers contending with chronic pain, inflammation, and depression.",https://www.leafly.com/strains/blueberry-cookies
Blueberry Cough,Hybrid,15,,,4.5,2,"Energetic;Uplifted;Talkative","Muscle spasms;Stress;Anxiety","Blueberry;Berry;Lavender",,"Blueberry;Strawberry Cough",,medium,medium,moderate,,"Blueberry Cough is a hybrid weed strain made from a genetic cross between Blueberry and Strawberry Cough. This strain is 50% sativa and 50% indica. Blueberry Cough is 15% THC, making this strain an ideal choice for experienced cannabis consumers. Bred by unknown breeders, the average price of Blueberry Cough typically ranges from $10-$15 per gram.",https://www.leafly.com/strains/blueberry-cough
Blueberry Cupcake,Hybrid,19,1,,4.6,24,"Happy;Energetic;Creative;Relaxed;Euphoric","Stress;Anxiety;Insomnia;Pain;Nausea","Blueberry;Cheese;Berry;Mint","Caryophyllene;Ocimene;Limonene;Myrcene","Blueberry Muffin;Wedding Cake",Grow-Off strain 2020,medium,medium,moderate,,"Blueberry Cupcake is a hybrid weed strain made from a genetic cross between Blueberry Muffin and Wedding Cake. This strain is 50% sativa and 50% indica. Blueberry Cupcake has a delicious flavor and aroma that resembles a blue raspberry slushie with hints of cheese and mint. It produces large and dense buds with purple and green colors and orange hairs. Blueberry Cupcake is 19% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Blueberry Cupcake effects include feeling relaxed, happy, and euphoric. Medical marijuana patients often choose Blueberry Cupcake when dealing with symptoms associated with pain, insomnia, and nausea. Bred by Hendrx Farms and featured as a Grow-Off strain in 2020, Blueberry Cupcake features flavors like berry, cheese, and mint. The dominant terpene of this strain is myrcene, which gives it an earthy and fruity aroma. The average price of Blueberry Cupcake typically ranges from $40-$60 per eighth.",https://www.leafly.com/strains/blueberry-cupcake
Blueberry Diesel,Hybrid,19,,,4.2,379,"Euphoric;Relaxed;Happy","Stress;Anxiety;Pain","Diesel;Blueberry;Sweet","Myrcene;Limonene;Caryophyllene","Blueberry;Sour Diesel",,medium,medium,moderate,9,"Blueberry Diesel is a cross of two favorite strains, Blueberry and Sour Diesel. It is probably best known for its strong blueberry smell with hints of fuel from its Diesel lineage. Blueberry flavors overwhelm its sticky flowers, which should have plenty of trichomes and long orange hairs. Effects tend to be happy and relaxing but not too overwhelming, making this a popular choice for many kinds of consumers.",https://www.leafly.com/strains/blueberry-diesel
Blueberry Dream,Sativa,17,,,4.5,60,"Aroused;Focused;Happy","Stress;Depression;Pain","Blueberry;Berry;Tea","Myrcene;Pinene;Caryophyllene",,,medium,medium,easy,,"From Leafs by Snoop, Blueberry Dream is a sativa strain with undisclosed genetics. Likely similar to the famous Blue Dream hybrid, Blueberry Dream is said to bring out your creativity while giving the mood a boost, all with the sweet flavor of ripe blueberries. With a typical THC content of about 14%, Blueberry Dream is a good choice for beginners looking for a less jarring psychoactive experience.",https://www.leafly.com/strains/blueberry-dream
Blueberry Gelato,Hybrid,15,,,4.2,25,"Relaxed;Creative;Hungry","Depression;Insomnia;Nausea","Grape;Blueberry;Pine","Pinene;Myrcene;Caryophyllene","Thin Mint Girl Scout Cookies;Blueberry",,medium,medium,easy,,"Blueberry Gelato is an indica-dominant hybrid weed strain made from a genetic cross between Thin Mint Girl Scout Cookies and Blueberry. Blueberry Gelato is 15% THC, making this strain an ideal choice for beginner cannabis consumers. Leafly customers tell us Blueberry Gelato effects make them feel relaxed, creative, and hungry. Medical marijuana patients often choose Blueberry Gelato when dealing with symptoms associated with depression, insomnia, and nausea. The dominant terpene of this cannabis strain is pinene. Blueberry Gelato features an aroma and flavor profile of grape, blueberry, and pine.",https://www.leafly.com/strains/blueberry-gelato
Blueberry Glue,Hybrid,25,0.1,0.5,4.5,100,"Relaxed;Happy;Euphoric;Uplifted;Creative","Stress;Pain;Depression;Insomnia;Anxiety","Berry;Sweet;Earthy;Pine","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene","Blueberry;Gorilla Glue #4",,Medium,Medium,Moderate,8,"Blueberry Glue is a hybrid strain that combines the sweet, fruity flavors of Blueberry with the potent effects of Gorilla Glue #4, making it a favorite among cannabis enthusiasts.",https://www.leafly.com/strains/blueberry-glue
Blueberry Haze,Hybrid,18,,,4.3,365,"Euphoric;Tingly;Giggly","Anxiety;Stress;Depression","Blueberry;Berry;Sweet","Myrcene;Pinene;Caryophyllene","Blueberry;Haze",,medium,medium,moderate,8,"A hybrid cross of Blueberry and Haze, this strain provides a sweet flavor and pleasant, euphoric high. Pace yourself with this one—overdoing it can send you to dreamland.",https://www.leafly.com/strains/blueberry-haze
Blueberry Headband,Hybrid,15,,,4.3,532,"Relaxed;Giggly;Uplifted","Stress;Anxiety;Depression","Blueberry;Berry;Flowery","Terpinolene;Ocimene;Pinene","Headband;Blueberry",,high,medium,moderate,,"Blueberry Headband is a hybrid marijuana strain made by crossing Headband with Blueberry. This strain provides a euphoric rush accompanied with a relaxing body effect. Blueberry Headband offers a sweet, blueberry flavor and aroma. Medical marijuana patients choose this strain to help relieve symptoms associated with chronic stress and anxiety. According to growers, Blueberry Headband produces medium to tall plants that are bushy and provide large yields with resinous colas.",https://www.leafly.com/strains/blueberry-headband
Blueberry Kush,Indica,18,,,4.2,1147,"Sleepy;Relaxed;Hungry","Stress;Pain;Anxiety","Blueberry;Berry;Sweet","Myrcene;Caryophyllene;Pinene","Blueberry;OG Kush",,medium,medium,easy,8,"Blueberry Kush, also known as ""Blueberry OG Kush,"" is a potent indica marijuana strain made by crossing Blueberry and OG Kush. This strain produces effects that slowly brings on a heavy body sensation, helping consumers forget their stress and relax. Blueberry Kush is a popular choice for evening use, as its dreamy effects will float you into a deep sleep. Medical marijuana patients choose this strain to help relieve symptoms associated with insomnia and stress.",https://www.leafly.com/strains/blueberry-kush
Blueberry Lemonade,Hybrid,14,,,4.4,7,"Creative;Energetic;Uplifted","Pain;Stress;Anxiety","Blueberry;Lemon;Diesel","Myrcene;Caryophyllene;Pinene","Blueberry Fuel;Lemon Skunk",,medium,medium,moderate,,"Blueberry Lemonade is a hybrid weed strain made from a genetic cross between Blueberry Fuel and Lemon Skunk. This strain is 30% sativa and 70% indica. Blueberry Lemonade is 14% THC, making this strain an ideal choice for experienced cannabis consumers.",https://www.leafly.com/strains/blueberry-lemonade
Blueberry Muffin,Hybrid,20,,,4.6,485,"Relaxed;Tingly;Happy","Anxiety;Depression;Stress","Butter;Blueberry;Vanilla","Caryophyllene;Myrcene;Limonene","Blueberry;Purple Panty Dropper",,medium,medium,moderate,9,"Blueberry Muffin, also known as ""Blueberry Muffins,"" is an indica-dominant hybrid marijuana strain made from a cross of Blueberry and Purple Panty Dropper. Produced by Humboldt Seed Co., Blueberry Muffin is revered for its uniform bud structure and purple-tinted flowers. This strain features a flavor profile that smells like a tray of fresh baked muffins. Blueberry Muffin's sweetness is softened by a smooth, creamy finish and makes for a tasty joint.",https://www.leafly.com/strains/blueberry-muffins
Blueberry OG,Hybrid,15,,,4.3,90,"Relaxed;Giggly;Hungry","Anxiety;Stress;Pain","Blueberry;Berry;Earthy","Myrcene;Pinene;Limonene","DJ Short Blueberry;OG Kush",,medium,medium,moderate,,"Blueberry OG is a DJ Short Blueberry phenotype with exceptional CBD yielding qualities combined with the indica-dominant legend, OG Kush. This potent, award-winning union doesn’t pack much in the way of psychoactivity, but its anti-anxiety and anti-inflammatory effects make up for any lack of headiness. With flavors of sweet camphor and sandalwood, this strain elevates the consumer's mood and promotes an overall sense of well being.",https://www.leafly.com/strains/blueberry-og
Blueberry Pancakes,Hybrid,23,,,4.6,92,"Relaxed;Aroused;Happy","Anxiety;Stress;Pain","Vanilla;Blueberry;Butter","Caryophyllene;Myrcene;Humulene","Slurricane;Purple Panty Dropper",,medium,medium,moderate,,"Blueberry Pancakes is a delicious indica-dominant hybrid bred by Humboldt Seed Company and Wave Rider Nursery from backcrossing Blueberry Pancakes with Slurricane and Purple Panty Dropper. With dense, deep purple buds and neon orange hairs, this strain exhibits an aroma of blueberries, grape, and dough. Flavors of syrup and tart berry are especially present when vaporized and utilizing non-butane combustion techniques, like hemp wick or herb irons. Blueberry Pancakes offers joyful, relaxing effects, including a weighted, relaxing physical buzz that can curb physical discomfort, nausea, joint pain, and insomnia.",https://www.leafly.com/strains/blueberry-pancakes
Blueberry Pie,Hybrid,24,,,4.4,134,"Relaxed;Tingly;Happy","Stress;Pain;Anxiety","Blueberry;Berry;Sweet","Caryophyllene;Myrcene;Pinene","Girl Scout Cookies;Blue Dream",,medium,medium,moderate,,"Blueberry Pie is the indica-dominant hybrid of two famous strains, Girl Scout Cookies and Blue Dream. Each strain in this potent cross has its own claim to fame, but when combined their unique attributes coalesce to form a strain greater than the sum of its parts. The blueberry flavor and mental haze of Blue Dream contributes to the stilted cerebral buzz, which is then anchored through the Kush-heavy effects of Girl Scout Cookies, amounting to a strain that shrugs off stress and mutes mild physical discomfort.",https://www.leafly.com/strains/blueberry-pie
Blueberry Punch,Hybrid,,,,,0,"Relaxed;Happy;Euphoric","Stress;Pain;Insomnia","Berry;Sweet;Earthy","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene","Blueberry;Punch",,Medium,Medium,Moderate,8,,https://www.leafly.com/strains/blueberry-punch
Blueberry Skunk,Indica,,,,4.4,135,"Relaxed;Euphoric;Giggly","Stress;Pain;Anxiety","Skunk;Blueberry;Pungent",,"Blueberry;Skunk #1",,medium,medium,easy,8,"Blueberry Skunk is an indica-dominant strain of Blueberry and Skunk #1. Skunk #1’s vigor, yield, and reliability are preserved, and Blueberry brings its heavy resin production and sweet berry flavors, which blend with an earthy, skunky musk. It produces fat, resin-crusted buds during flowering, and effects are led by a long-lasting euphoric buzz that generates giggles as well as the munchies.",https://www.leafly.com/strains/blueberry-skunk
Blueberry Slushie,Hybrid,20,,,4.4,12,"Relaxed;Happy;Euphoric;Focused;Creative","Anxiety;Pain;Stress;Insomnia","Berry;Earthy;Floral",Myrcene,"Blueberry Cookies;Georgia Pie",,medium,medium,moderate,,"Blueberry Slushie is an indica-dominant hybrid weed strain made from a genetic cross between Blueberry Cookies and Georgia Pie. This strain is 70% indica and 30% sativa. Blueberry Slushie has a rare and exotic lineage, as it is the only strain cultivated by Good Day Farm, a Tennessee-based cannabis brand that aims to illuminate the good in everyone, everywhere, every day. Blueberry Slushie is 18-22% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Blueberry Slushie effects include feeling relaxed, happy, and euphoric. Medical marijuana patients often choose Blueberry Slushie when dealing with symptoms associated with stress, insomnia, and pain. Bred by Good Day Farm, Blueberry Slushie features flavors like berry, earthy, and floral. The dominant terpene of this strain is myrcene, which contributes to its sedating and anti-inflammatory properties. The average price of Blueberry Slushie typically ranges from $10-$15 per gram. Blueberry Slushie is a deliciously purple strain with dense, resin-coated buds that burst with fruity flavor. This strain is great for unwinding at the end of the day, or enjoying a cozy night in with some snacks and a movie.",https://www.leafly.com/strains/blueberry-slushie
Blueberry Space Cake,Indica,,,,4.6,122,"Sleepy;Relaxed;Tingly","Stress;Pain;Anxiety","Blueberry;Berry;Butter",,"Outer Space;Alien Dutchess",,null,null,null,,"Blueberry Space Cake by Cresco Labs is the indica-dominant offspring of Outer Space and Alien Dutchess, with its Alien OG and Trinity lineage bearing the strongest influence on its effects and morphology. It offers heavier than average Kush-forward effects that include cerebral euphoria and relaxed, weighted limbs. This strain exhibits a strong berry and citrus aroma and could be utilized for stress relief, minor physical pain, and restlessness.",https://www.leafly.com/strains/blueberry-space-cake
Blueberry Yum Yum,Hybrid,18,,,4.6,153,"Happy;Giggly;Uplifted","Stress;Anxiety;Depression","Blueberry;Mint;Berry","Myrcene;Pinene;Caryophyllene","Durban Poison;Blueberry",,medium,medium,moderate,,"Blueberry Yum Yum, also known as ""Yum Yum,"" is a hybrid marijuana strain whose popularity was ushered in by rap artist Ludacris and his song centered on the strain. While certainly the progeny of the famed Blueberry indica, its other parent is suspected to have been a Durban Poison sativa. Because of its parents’ polarity, Blueberry Yum Yum can express a wide spectrum of effects, but consumers typically report uplifting, happy effects perfect for any time of the day. Though dominated by an unmistakable blueberry aroma, accents of earthy mint and pine can also be detected on the palate.",https://www.leafly.com/strains/blueberry-yum-yum
Blues,Hybrid,,,,3.8,38,"Talkative;Happy;Creative","Pain;Stress;Depression","Berry;Blue Cheese;Skunk",,Sensi Seeds’ Skunk #1,,,,null,,"Blues, also known as “Livers,” is a famous hybrid strain in the U.K. Its origins are a well-kept secret, but many speculate Blues to be a unique phenotype of Sensi Seeds’ Skunk #1 from the 80’s. Those who have chanced upon this mysterious clone-only strain describe its effects as uplifting, long-lasting, and clear-headed. Blues plants are strong and resilient, growing large buds that give off a sweet berry aroma.",https://www.leafly.com/strains/blues
Blunicorn,Hybrid,20,,,4.6,53,"Aroused;Happy;Relaxed","Anxiety;Depression;Stress","Berry;Blueberry;Pungent",Limonene,"Blue Sherbert;Unicorn Poop",,medium,medium,moderate,,"Blunicorn is a balanced hybrid weed strain made from a genetic cross between Blue Sherbert and Unicorn Poop. Blunicorn is 20% THC, making this strain an ideal choice for beginners and experienced cannabis consumers. Leafly customers tell us Blunicorn effects include feeling uplifted, euphoric, and relaxed. Medical marijuana patients often choose Blunicorn when dealing with symptoms associated with anxiety, depression, and pain. Bred by In House Genetics, Blunicorn features flavors like blueberry, berry, and mango. The dominant terpene of this strain is Limonene.",https://www.leafly.com/strains/blunicorn
Blurple,Hybrid,20,,,4.1,39,"Hungry;Happy;Relaxed","Stress;Anxiety;Nausea","Grape;Flowery;Berry","Myrcene;Caryophyllene;Pinene","Blue Dream;Mendocino Purps",,medium,medium,moderate,,"Blurple, also known as Blue Dream Purple, is a balanced hybrid cross between Blue Dream and Mendocino Purps. Its effects position themselves cerebrally at first, with gentle body relaxation that keeps you feeling light and free of tension. Drawing from both sides of the family, Blurple carries a sweet, dessert-like berry and grape aroma that comes to life on the inhale. This strain earns its name as bluish purple hues swirl throughout Blurple’s green buds.",https://www.leafly.com/strains/blurple
Boggle Gum,Hybrid,14,,,3.9,24,"Creative;Energetic;Uplifted","Stress;Anxiety;Depression","Cheese;Grape;Berry","Myrcene;Limonene;Linalool","Northern Lights #5;BOG Bubble",,medium,medium,easy,,Boggle Gum is a relaxing hybrid cross between Northern Lights #5 and BOG Bubble.,https://www.leafly.com/strains/boggle-gum
Bombsicle,Hybrid,,,,4.6,54,"Aroused;Tingly;Relaxed","Anxiety;Stress;Depression","Berry;Tropical;Tree fruit",,,,null,null,null,,"Bombsicle is an indica-dominant marijuana strain. We're still learning about the flavors and effects of Bombsicle - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",https://www.leafly.com/strains/bombsicle
Bone Collector,Hybrid,22,,,4.5,2,"Creative;Talkative;Focused","Anxiety;Bipolar disorder","Blueberry;Berry;Butter",,"Larry OG;Grandaddy Purple",,null,null,null,,"Bone Collector is a hybrid weed strain made from a genetic cross between Larry OG and Grandaddy Purple. This strain is 40% sativa and 60% indica. Bone Collector is 22% THC, making this strain an ideal choice for experienced cannabis consumers. Bred by Phat Panda, the average price of Bone Collector typically ranges from $10-$15 per gram.",https://www.leafly.com/strains/bone-collector
Boo Berry,Hybrid,23,,,4.6,9,"Aroused;Energetic;Creative","Inflammation;Insomnia;Muscle spasms","Berry;Chemical;Lemon","Caryophyllene;Myrcene;Humulene","Blueberry;Afghani",,medium,medium,moderate,,"Boo Berry is an indica-dominant hybrid weed strain made from a genetic cross between Blueberry and Afghani. This strain is inspired by the spooky cereal mascot of the same name, but it won’t give you any nightmares. Instead, Boo Berry will treat you to a sweet and relaxing high that can help you unwind and sleep better. Boo Berry is 21% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Boo Berry effects include sleepiness, arousal, and energy. Medical marijuana patients often choose Boo Berry when dealing with symptoms associated with insomnia, pain, and muscle spasms. Bred by Lost River Seeds, Boo Berry features flavors like berry, chemical, and lemon. The dominant terpene of this strain is terpinolene. The average price of Boo Berry typically ranges from $10-$15 per gram. If you are looking for a strain that can soothe your body, stimulate your senses, and lull you into a deep slumber, Boo Berry might be the perfect treat for you.",https://www.leafly.com/strains/boo-berry
Booger,Hybrid,,,,4.7,49,"Energetic;Creative;Aroused","Pain;Depression;Stress","Sweet;Berry;Skunk",,"Strawberry Cough;Bubba Kush",,,,null,,"Booger may not have an appetizing name, but a look at this hybrid’s genetics may be all the convincing you need to give this strain a try: Strawberry Cough combines with Bubba Kush to create a balanced effect that walks the line between physical relaxation and cerebral energy. This Colorado native introduces itself with a sweet berry and sour skunk aroma while earthy, hashy flavors are detected on the exhale. With uplifting and calming effects, Booger uncoils stress and worry while encouraging a more lighthearted outlook on life (because seriously, you’re consuming a strain called “Booger”).",https://www.leafly.com/strains/booger
Bootylicious,Hybrid,19,,,4.7,33,"Talkative;Happy;Uplifted","Anxiety;Depression;Pain","Diesel;Berry;Blueberry","Caryophyllene;Myrcene;Limonene","Constantine (Orange Valley OG x The Cube);Cookies and Cream",,above average,medium,moderate,9,Bootylicious by Exotic Genetix is another exciting Cookies and Cream cross from the crew out of Washington State. This strain is a cross of Constantine (Orange Valley OG x The Cube) and Cookies and Cream. Bootylicious has a tantalizing aroma of frosted cupcakes and freshly pumped gas which fills the room upon combustion. It produces an above average yield over its 9-week flowering cycle.,https://www.leafly.com/strains/bootylicious
Borderline Extreme,Hybrid,14,,,4.8,9,"Hungry;Creative;Energetic","Stress;Anxiety;Insomnia","Diesel;Skunk;Berry","Caryophyllene;Humulene;Linalool",,,medium,medium,moderate,,"Borderline Extreme is an indica-dominant hybrid marijuana strain. We're still learning about the flavors and effects of Borderline Extreme - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",https://www.leafly.com/strains/borderline-extreme
Boy Scout Cookies,Hybrid,,,,4.5,58,"Hungry;Giggly;Relaxed","Depression;Stress;Anxiety","Woody;Earthy;Pungent",,GSC,,medium,medium,moderate,,"BSC is a hybrid that follows in the footsteps of its GSC parent, but is named for the youth scouting group's male equivalent. With potent effects that hug the mind and body in tranquil euphoria, BSC introduces deep, heavy relaxation throughout the body, but not before making your head reel with calm and happy thoughts. The cerebral buzz tapers down into a foggy haze, helping you abandon worries and slide into a low-key afternoon or a restful night’s sleep. Putting your nose in a jar of BSC is like stealing a smell from the cookie jar, as sweet, earthy aromas burst forth with subtle notes of woody pine.",https://www.leafly.com/strains/bsc
Boysenberry,Hybrid,,,,3.8,33,"Energetic;Creative;Uplifted","Anxiety;Stress;Lack of appetite","Berry;Blueberry;Earthy",,,,null,null,null,,"Boysenberry is a hybrid weed strain. Reviewers on Leafly say this strain makes them feel energetic, creative, and uplifted.",https://www.leafly.com/strains/boysenberry
Boysenberry Creme Brulee,Hybrid,27,,,4.8,16,"Relaxed;Happy;Euphoric","Anxiety;Depression;Stress","Vanilla;Berry;Blueberry","Limonene;Myrcene;Linalool","Guava Dawg;Wedding Cake",,medium,medium,moderate,,"Boysenberry Creme Brulee is a hybrid marijuana strain. We're still learning about the flavors and effects of Boysenberry Creme Brulee - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",https://www.leafly.com/strains/boysenberry-creme-brulee
Brains Damage,Indica,20,,,4.6,32,"Sleepy;Hungry;Happy","Insomnia;Stress;Lack of appetite","Diesel;Earthy;Blueberry",,"Acapulco Mexican;Mango;Hawaiian;KC 636",,medium,medium,moderate,8,"Bred by KC Brains in Holland, Brains Damage is a hybrid cross between Acapulco Mexican, Mango, Hawaiian, and KC 636. A fusion of sweet fruit and earthy hash radiate from the buds, with cerebrally-focused effects best described as mellow and relaxed. A subtle, energizing kick hints at this strain’s genetics, which lean toward the sativa side of the spectrum. Though originally intended for an end-of-September harvest in outdoor gardens, Brains Damage also does fairly well indoors with an 8 to 10 week flowering period.",https://www.leafly.com/strains/brains-damage
Brownie Scout,Indica,,,,4.7,180,"Sleepy;Relaxed;Tingly","Anxiety;Insomnia;Stress","Coffee;Skunk;Tar",,"Kosher Kush;Platinum Girl Scout Cookies (GSC)",,,,null,,"Brownie Scout is a potent indica marijuana strain made by crossing Platinum Girl Scout Cookies (GSC) with Kosher Kush. Brownie Scout is a sweet treat that tastes like chocolate and smells a little skunky when smoked. Brownie Scout is thought to be one of the strongest strains you can smoke, which means anyone with a low THC tolerance should be cautious when trying this strain. Smoking Brownie Scout will give you a sedated, euphoric, full-body high that is ideal for night time use or on days when you're stuck inside. Medical marijuana patients choose Brownie Scout for its sleep-inducing qualities.",https://www.leafly.com/strains/brownie-scout
Bruce Banner,Hybrid,21,,,4.5,1425,"Euphoric;Creative;Focused","Stress;Depression;Anxiety","Flowery;Tea;Diesel","Caryophyllene;Myrcene;Limonene","OG Kush;Strawberry Diesel",,high,medium,moderate,8,"Bruce Banner, also known as ""Banner"" and ""OG Banner,"" is a hybrid sativa weed strain with dense nugs and THC content that packs a punch. Bruce Banner might be best known as the alter-ego of comic book hero The Incredible Hulk, but maybe he wouldn't be such a stressed-out ball of anger if he just had some of his namesake weed strain. Bruce Banner is potent, averaging a 21% THC level. If you're new to smoking Bruce Banner, expect the effects to be strong and to come on quickly before dissipating into a euphoric and creative high. The effects of Bruce Banner will linger in the head and may provide body relaxation. Bruce Banner is a bud best enjoyed during the daytime. This strain was originally bred by Dark Horse Genetics from a cross of OG Kush and Strawberry Diesel. Bruce Banner buds offer a diesel aroma with sweet undertones. This strain does have three main phenotypes, one of which is Bruce Banner #3. The dominant terpene of Bruce Banner is myrcene.",https://www.leafly.com/strains/bruce-banner
Bubba Cake,Indica,25,0.1,0.2,4.5,120,"Relaxed;Happy;Euphoric;Sleepy","Stress;Pain;Insomnia;Depression","Sweet;Earthy;Vanilla;Berry","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene","Bubba Kush;Wedding Cake",,Medium,Short to Medium,Moderate,8,Bubba Cake is a sweet and earthy strain that combines the relaxing effects of Bubba Kush with the uplifting qualities of Wedding Cake.,https://www.leafly.com/strains/bubba-cake
Bubba Cookies,Hybrid,22,0.1,0.5,4.5,150,"Relaxed;Happy;Euphoric;Uplifted","Stress;Pain;Insomnia;Depression","Sweet;Earthy;Spicy;Herbal","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene","Bubba Kush;Girl Scout Cookies",,Medium,Medium,Moderate,8,"Bubba Cookies is a hybrid strain that combines the relaxing effects of Bubba Kush with the uplifting qualities of Girl Scout Cookies, making it a favorite for both recreational and medicinal users.",https://www.leafly.com/strains/bubba-cookies
Bubba Diagonal,Indica,17,,,4.7,49,"Sleepy;Relaxed;Tingly","Anxiety;Pain;Stress","Earthy;Pine","Caryophyllene;Limonene;Linalool","Triangle Kush;Bubba",,medium,medium,moderate,,"Bubba Diagonal is an indica marijuana strain made by crossing Triangle Kush with Bubba. This strain produces potent effects that lend to a relaxing body high. Bubba Diagonal features flavors that are earthy and subtly sweet while the aroma smells gassy and piney. Medical marijuana patients choose this strain to help relieve symptoms associated with insomnia, pain, and stress.",https://www.leafly.com/strains/bubba-diagonal
