awards,aliases,effects,flavors,medical,terpenes,grow_info,description,strain_name,rating_count,cbd_percentage,cbg_percentage,rating_average,thc_percentage,lineage_parents,strain_classification,url,name,lineage,cbd_percent,thc_percent,average_rating,classification
"[]",,"[""Aroused"",""Relaxed"",""Sleepy""]","[""Rose"",""Flowery"",""Berry""]","[""Pain"",""Anxiety"",""Stress""]","[""Myrcene"",""Caryophyllene"",""Pinene""]","{""yield"":""high"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Crown Royale is a sweet indica-dominant hybrid that blends the best of parent strains Blueberry and Purple Kush together. This flower is a feast for the eyes with bright purple hues and deep green foliage. Just as delightful on the palate, Crown Royale exhibits notes of the forest floor with piney aromas and a telltale berry tartness. These scents show up in the flavor as a sweeter, fruiter pine. Enjoy this strain for pervasive physical effects that dull pain, nausea, and stress.",,49,,,,,,,"https://www.leafly.com/strains/crown-royale","Crown Royale","[""Blueberry"",""Purple Kush""]",0,15,4.7,"Indica"
"[]",,"[""Happy"",""Focused"",""Euphoric""]","[""Lime"",""Citrus"",""Tree fruit""]","[""Depression"",""Stress"",""Anxiety""]","[]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Bred by Karma Squad, Crumbled Lime crosses Citron Cookies (Jillybean x GSC) with Biker Kush. Famous parents give this strain a unique flavor profile of lime, orange, and sweet flavors, with trichomes covering dense lime-green buds. Crumbled Lime is great for folks who are looking to steer away from OGs but want to keep a high potency and quality.",,23,,,,,,,"https://www.leafly.com/strains/crumbled-lime","Crumpled Lime","[""Citron Cookies (Jillybean x GSC)"",""Biker Kush""]",,22,4.6,"Sativa"
"[]",,"[""Talkative"",""Happy"",""Relaxed""]","[""Berry"",""Blueberry"",""Woody""]","[""Anxiety"",""Stress"",""Depression""]","[""Pinene"",""Caryophyllene"",""Humulene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":8}","Bred by Exotic Genetix, Crunch Berries is a cross between DJ Short’s famous Blueberry and a male Triple OG. With two famous strains in the mix, Crunch Berries will surely offer something unique. This delicious strain has an OG gassy terpene profile backed by a sweet blueberry influence. Crunch Berries is perfect for a sunny day in the park or a hike in the woods.",,79,,,,,,,"https://www.leafly.com/strains/crunch-berries","Crunch Berries","[""Blueberry"",""Triple OG""]",0,21,4.2,"Hybrid"
"[""3rd place in the 2014 L.A. Cannabis Cup""]",,"[""Euphoric"",""Tingly"",""Uplifted""]","[""Citrus"",""Cheese"",""Flowery""]","[""Stress"",""Depression"",""Pain""]","[]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Crystal Coma is a rare sativa-dominant hybrid from California that induces deep, trance-like effects. Its name foreshadows the debilitating relaxation to come, a long-lasting calm that shuts off mental overactivity. Pastel green breaks through this sativa’s thick blanket of crystal trichomes that contributes to its staggeringly high THC content of up to 26 percent. Crystal Coma’s genetics are long lost, but myth has it that the origins lie in Cheese and Skunk #1. Anxiety, PTSD, pain, and sleeplessness are no match for Crystal Coma’s potency, a medicine that is highly recommended for nighttime use. Crystal Coma took 3rd place in the 2014 L.A. Cannabis Cup.",,147,,,,,,,"https://www.leafly.com/strains/crystal-coma","Crystal Coma","[""Cheese"",""Skunk #1""]",,26,4.6,"Sativa"
"[]",,"[""Energetic"",""Euphoric"",""Uplifted""]","[""Grape"",""Diesel"",""Sweet""]","[""Stress"",""Insomnia"",""Depression""]","[""Limonene"",""Pinene"",""Caryophyllene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Daily Grape is a hybrid weed strain made from a genetic cross between Granddaddy Purple and Sour Diesel. This strain is a creation of Street Lawyer Services, a brand known for producing beautiful and tasty strains. Daily Grape is 25-30% THC, making this strain an ideal choice for experienced cannabis consumers who can handle a potent high. Leafly customers tell us Daily Grape effects include relaxation, creativity, and euphoria. Medical marijuana patients often choose Daily Grape when dealing with symptoms associated with anxiety, chronic pain, and depression. Bred by Street Lawyer Services, Daily Grape features flavors like grape, diesel, and sweet. The dominant terpene of this strain is unknown, but it may have some myrcene or caryophyllene content. The average price of Daily Grape typically ranges from $40-$60 per eighth. Daily Grape is a very beautiful and tasty smoke that can provide a relaxing and creative state of mind. It has dense and purple buds that are covered with orange hairs and frosty trichomes. The aroma of this strain is grape and diesel, with hints of earth and pine.",,13,,,,,,,"https://www.leafly.com/strains/daily-grape","Daily Grape","[""Granddaddy Purple"",""Sour Diesel""]",,31,4.6,"Hybrid"
"[]",,"[""Energetic"",""Creative"",""Happy""]","[""Pepper"",""Spicy/Herbal"",""Earthy""]","[""Stress"",""Depression"",""Fatigue""]","[]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","A spin-off of the Amsterdam staple Amnesia Haze, Strain Hunters Seeds has crossed the Haze with another coffee shop powerhouse, AMS, to create a long-lasting hybrid. Damnesia has a pungent scent of spicy incense and black pepper. The strong cerebral effects are great for socializing and activating your creative juices but they can creep up slowly. Many search for this strain when looking for an uplifting, energetic solution to pain issues or when suffering from a lack of appetite.",,13,,,,,,,"https://www.leafly.com/strains/damnesia","Damnesia","[""Amnesia Haze""]",,,4.3,"Hybrid"
"[]",,"[""Energetic"",""Focused"",""Happy""]","[""Spicy/Herbal"",""Flowery"",""Earthy""]","[""Stress"",""Pain"",""Anxiety""]","[]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""easy"",""flowering_time_weeks"":8}","Dance World is a high-CBD sativa strain bred by Royal Queen Seeds in Spain. A cross between Dancehall and Juanita La Lagrimosa, Dance World’s heritage stems primarily from Afghani and Mexican genetics. From its Dancehall parent, Dance World inherits active, uplifting effects that motivate productivity and a positive mindset. Earthy and spicy flavors dominate the palate, but subtle fruity notes bring Dance World sweet undertones. While Dance World shows its sativa genetics in its energetic effects, Dance World plants are more indica in stature and flower after just 8 weeks.",,36,,,,,,,"https://www.leafly.com/strains/dance-world","Dance World","[""Dancehall"",""Juanita La Lagrimosa""]",,,4.5,"Sativa"
"[]",,"[""Creative"",""Focused"",""Uplifted""]","[""Flowery"",""Earthy"",""Spicy/Herbal""]","[""Pain"",""Depression"",""Stress""]","[""Myrcene"",""Caryophyllene"",""Limonene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Dancehall, a 60/40 sativa-dominant hybrid, was bred by Reggae Seeds by combining Juanita La Lagrimosa (a Mexican-Afghani-Spanish hybrid) with Kalijah (Blue Heaven crossed with a Mexican-Afghani hybrid). Named after a style of Reggae played in times of celebration, Dancehall will lift your spirits to a happier place where creativity and social bonding thrive. As its flowers mature, vibrant shades of green, blue, purple, and red twist underneath its crystal trichomes while aromas both sweet and spicy dance from cracked buds.",,71,,,,,,,"https://www.leafly.com/strains/dancehall","Dancehall","[""Juanita La Lagrimosa"",""Kalijah""]",13,1,4.2,"Hybrid"
"[]",,"[""Relaxed"",""Hungry"",""Aroused""]","[""Pine"",""Blue Cheese"",""Diesel""]","[""Stress"",""Pain"",""Insomnia""]","[]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Dank Schrader is the house strain at The Healing Center in Vancouver, BC. The strain was developed during the final season of Breaking Bad and is named after DEA Agent Hank Schrader, a character on the show. Dank Schrader crosses Rockstar Kush with Bubba Kush to create a potent and relaxing indica-driven hybrid that has tested out as high as 27% THC according to dispensary’s lab results, performed by Hedron Analytical.",,39,,,,,,,"https://www.leafly.com/strains/dank-schrader","Dank Schrader","[""Bubba Kush"",""Rockstar Kush""]",,27,4.9,"Indica"
"[]",,"[""Relaxed"",""Focused"",""Talkative""]","[""Ammonia"",""Pepper"",""Tea""]","[""Anxiety"",""Stress"",""Pain""]","[]","{""yield"":""null"",""height"":""null"",""difficulty"":""null"",""flowering_time_weeks"":null}","Dante’s Inferno is a cannabis strain, that combines Oreoz and Devil Driver. Breeders Clearwater Genetics and Tiki Madman teamed up on the strain. Dante's Inferno can smell sweet and creamy, and is known for it's beautiful, blingy look. This indica hybrid has lots of cookies genetics in it for a relaxing effect.",,68,,,,,,,"https://www.leafly.com/strains/dantes-inferno","Dante's Inferno","[""Oreoz"",""Devil Driver""]",,,4.5,"Hybrid"
"[]",,"[""Happy"",""Focused"",""Talkative""]","[""Blueberry"",""Sweet"",""Berry""]","[""Anxiety"",""Depression"",""Pain""]","[""Pinene"",""Caryophyllene"",""Myrcene""]","{""yield"":""null"",""height"":""null"",""difficulty"":""null"",""flowering_time_weeks"":null}","Dark Blue Dream is a gently sedating twist on a classic. By combining the ubiquitous headiness of Blue Dream with Dark Night’s semi-sedative physical aura, an enjoyable hybrid is created that stimulates the mind while simultaneously relaxing the body. These complementary attributes make Dark Blue Dream an ideal after-work strain. The sweet flavor and pungent aroma are a feast for the senses while the headiness promotes creativity and lateral thought without overstimulating the consumer.",,71,,,,,,,"https://www.leafly.com/strains/dark-blue-dream","Dark Blue Dream","[""Blue Dream"",""Dark Night""]",0,19,4.4,"Hybrid"
"[]",,"[""Sleepy"",""Relaxed"",""Tingly""]","[""Sage"",""Earthy"",""Woody""]","[""Pain"",""Stress"",""Anxiety""]","[""Caryophyllene"",""Limonene"",""Myrcene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""difficult"",""flowering_time_weeks"":10}","Dark Star, also known as ""Darkstar,"" is an indica marijuana strain. Dark Star’s effects are as spacey as its name suggests: a deep, relaxed sensation throughout the body accompanied by a heavy cerebral calm. Though celestial in its effects, the strain is more likely homage to the Grateful Dead’s song “Dark Star.” A cross between Purple Kush and Mazar-I-Sharif, this dark, almost bluish strain was first bred indoors by T.H. Seeds.",,288,,,,,,,"https://www.leafly.com/strains/dark-star","Dark Star","[""Purple Kush"",""Mazar-I-Sharif""]",,20,4.4,"Indica"
"[]",,"[""Relaxed"",""Euphoric"",""Happy""]","[""Skunk"",""Pungent"",""Pine""]","[""Stress"",""Anxiety"",""Depression""]","[""Caryophyllene"",""Limonene"",""Myrcene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":9}","Deadhead OG, also known as ""Dead Head,"" ""Deadhead OG Kush,"" and ""Deadhead,"" is an indica-dominant hybrid marijuana strain made by crossing Chemdog 91 with SFV OG Kush. Deadhead OG is beloved by experienced cannabis consumers for its high potency and reliability to produce a long-lasting body high. The effects are cerebral, physically stimulating and mentally relaxing. Those who are new to cannabis or have a low THC tolerance should use caution with DeadHead OG. This strain pairs best with lazy activities, like watching TV or playing video games. Consumers say Deadhead OG tastes hearty, with notes of pine and earth. According to growers, this strain has an average flowering time of 63 days.",,594,,,,,,,"https://www.leafly.com/strains/deadhead-og","Deadhead OG","[""Chemdog 91"",""SFV OG Kush""]",0,22,4.3,"Hybrid"
"","D Bubba","Sleepy, Relaxed, Hungry","Pungent, Earthy, Skunk","Pain, Insomnia, Stress","{""pinene"":""Present"",""myrcene"":""Present"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""High"",""height"":null,""difficulty"":""Moderate"",""flowering_weeks"":null}","Death Bubba, also known as ""D Bubba,"" is an indica marijuana strain bred by Matteo Suleyman of Sea to Sky Cannabis in Vancouver, BC, Canada. Made by crossing Death Star with Bubba Kush, Death Bubba is a pungent strain that reeks of grass and skunk. It has a sweet, earthy taste that's clean on the palate. Death Bubba weed's semi-sedating effects can be known to cause couchlock, so be sure to use this strain when you have nothing important to do. Medical marijuana patients choose Death Bubba to help unknot tension and relieve physical discomfort associated with chronic pain.","Death Bubba",403,,,4.6,,"Death Star, Bubba Kush","Indica",,,,,,,
"[]",,"[""sleepy"",""relaxed"",""tingly""]","[""diesel"",""pungent"",""tea""]","[""stress"",""pain"",""anxiety""]","[""caryophyllene"",""myrcene"",""limonene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":""7 - 9""}","Death Star is an indica weed strain made from a genetic cross between Sensi Star and Sour Diesel. This strain is named for its skunky sweet jet fuel aromas that are pungent and fill up your nostrils. This strain may not have the ability to destroy planets, but it does have a powerful buzz that can make you feel sleepy, relaxed, and euphoric. Death Star is 19% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Death Star effects include feeling sleepy, relaxed, and euphoric. Medical marijuana patients often choose Death Star when dealing with symptoms associated with stress, pain, and anxiety. Bred by unknown breeders, Death Star features flavors like diesel, pungent, and tea. The dominant terpene of this strain is unknown. The average price of Death Star typically ranges from $10-$15 per gram. This strain has a frosty appearance with purple shades of color visible in its stems. Death Star also has a connection to the Star Wars franchise, as it refers to the massive space station that can obliterate entire planets with its superlaser. Some fans of Star Wars may enjoy this strain as a way to feel the power of the dark side or rebel against the Empire. Red Squadron may have destroyed the empire's battle station during the battle of Yavin, but luckily this strain survived the explosion.",,1503,,,,,,,"https://www.leafly.com/strains/death-star","Death Star","[""Sensi Star"",""Sour Diesel""]",0,19,4.5,"Indica"
"[]",,"[""Sleepy"",""Relaxed"",""Euphoric""]","[""Pungent"",""Earthy"",""Skunk""]","[""Pain"",""Stress"",""Insomnia""]","[""Limonene"",""Myrcene"",""Caryophyllene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Death Star OG is a potent cross between Sour Diesel, Sensi Star, and OG Kush.",,214,,,,,,,"https://www.leafly.com/strains/deathstar-og","Death Star OG","[""Sour Diesel"",""Sensi Star"",""OG Kush""]",,23,4.5,"Indica"
"[]",,"[""Sleepy"",""Relaxed"",""Euphoric""]","[""Pungent"",""Diesel"",""Earthy""]","[""Insomnia"",""Pain"",""Stress""]","[""Myrcene"",""Terpinolene"",""Pinene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Also known as P.O. 4, Deep Sleep is a cross of the Larry OG and Pre-98 Bubba Kush from North Hollywood breeders Progressive Options. This indica-dominant hybrid is quite aptly named, as it quickly reduces users to a puddle of sleepy relaxation. The flavor of Deep Sleep is very sweet and fruity on the inhale with a nice OG funk on the exhale. Fans of OG Kush will love these thick, resinous, purple-tinted flowers.",,72,,,,,,,"https://www.leafly.com/strains/deep-sleep","Deep Sleep","[""Larry OG"",""Pre-98 Bubba Kush""]",0,15,4.5,"Indica"
"[]",,"[""Energetic"",""Creative"",""Uplifted""]","[""Blue Cheese"",""Diesel"",""Coffee""]","[""Depression"",""Stress"",""Anxiety""]","[]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Detroit Diesel is a hybrid weed strain made from a genetic cross between NYC Diesel and Cinderella 99. This strain is 60% sativa and 40% indica. Detroit Diesel is 19.5% THC, making this strain an ideal choice for experienced cannabis consumers. Bred by unknown breeders, the average price of Detroit Diesel typically ranges from $10-$15 per gram. We are still learning about Detroit Diesel’s effects, flavors, and medical uses.",,3,,,,,,,"https://www.leafly.com/strains/detroit-diesel","Detroit Diesel","[""NYC Diesel"",""Cinderella 99""]",,19.5,4,"Hybrid"
"[]",,"[""Energetic"",""Uplifted"",""Happy""]","[""Blueberry"",""Berry"",""Vanilla""]","[""Depression"",""Inflammation"",""Lack of appetite""]","[]","{""yield"":""high"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Bred by Mr. Nice Seeds, Devil is a cross of an old Afghan strain and Afghan Skunk. Devil is a potent beast with big, juicy nugs exploding off the stalks with stark white trichomes that exude a thick skunky, earthy, and piney aroma. With just a few puffs you can expect to be taken into a deep state of relaxation with a long-lasting, sedative high.",,7,,,,,,,"https://www.leafly.com/strains/devil","Devil","[""Afghan"",""Afghan Skunk""]",,,4.3,"Hybrid"
"[""2nd place at the 2002 BC Harvest Cup""]",,"[""Relaxed"",""Tingly"",""Sleepy""]","[""Grapefruit"",""Spicy/Herbal"",""Pepper""]","[""Stress"",""Anxiety"",""Pain""]","[""Myrcene"",""Caryophyllene"",""Limonene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":""6-7""}","Bred from Grapefruit, Blueberry and South African Sativa, the Diablo cannabis strain announces itself with a sweet aroma. This indica expresses purple hues in its flowers, along with fruity and spicy flavors. Diablo has an indoor flowering time of 6-7 weeks and took second place at the 2002 BC Harvest Cup in the outdoor category.",,350,,,,,,,"https://www.leafly.com/strains/diablo","Diablo","[""Grapefruit"",""Blueberry"",""South African Sativa""]",0,20,4,"Indica"
"[]",,"[""Energetic"",""Uplifted"",""Focused""]","[""Citrus"",""Nutty"",""Lemon""]","[""Anxiety"",""Depression"",""Stress""]","[""Caryophyllene"",""Myrcene"",""Limonene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Diamond Dust is a sativa-dominant hybrid weed strain made from a genetic cross between Sour Bubble and Double Dream. Bred by Clade 9 Genetics, Diamond Dust is 15% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Diamond Dust effects make them feel energetic, uplifted, and tingly. Medical marijuana patients often choose Diamond Dust when dealing with symptoms associated with depression, fatigue, and migraines. The dominant terpene of this cannabis strain is limonene. Diamond Dust features an aroma of fruity and herbal with a flavor profile of sweet citrus.",,46,,,,,,,"https://www.leafly.com/strains/diamond-dust","Diamond Dust","[""Sour Bubble"",""Double Dream""]",1,15,4.7,"Hybrid"
"[]",,"[""sleepy"",""relaxed"",""hungry""]","[""pine"",""woody"",""earthy""]","[""stress"",""pain"",""insomnia""]","[""pinene"",""myrcene"",""caryophyllene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Diamond OG is an indica weed strain made from a genetic cross between OG Kush and an unknown strain. Diamond OG is 17% THC, making this strain an ideal choice for beginner cannabis consumers. Leafly customers tell us Diamond OG effects include sleepy, hungry, and relaxed. Medical marijuana patients often choose Diamond OG when dealing with symptoms associated with stress, pain, and insomnia. Bred by an unknown breeder, Diamond OG features flavors like herbal, pine, and woody. The dominant terpene of this strain is pinene.",,434,,,,,,,"https://www.leafly.com/strains/diamond-og","Diamond OG","[""OG Kush"",""unknown strain""]",0,17,4.5,"Indica"
"[]",,"[""Uplifted"",""Energetic"",""Happy""]","[""Sweet"",""Skunk"",""Flowery""]","[""Anxiety"",""Stress"",""Pain""]","[]","{""yield"":""null"",""height"":""null"",""difficulty"":""null"",""flowering_time_weeks"":null}","Diesel Duff is a happy, mellow strain that may just have your thoughts spinning off into new tangents. This strain’s effects tend to be more sativa in nature, taking after its Sour Diesel genetics. It’s a great choice for taming the mind during daytime and getting things done as long as your pursuits are not too labor-intensive.",,13,,,,,,,"https://www.leafly.com/strains/diesel-duff","Diesel Duff","[""Sour Diesel""]",,,3.6,"Hybrid"
"[]",,"[""creative"",""energetic"",""uplifted""]","[""banana"",""cream"",""diesel""]","[""depression"",""stress"",""anxiety""]","[""limonene"",""myrcene"",""caryophyllene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Divine Banana is a hybrid weed strain made from a genetic cross between Banana OG and Divine Gelato #3. This strain is a creation of In House Genetics, a breeder known for producing exotic and potent strains. Divine Banana is 25-30% THC, making this strain an ideal choice for experienced cannabis consumers who can handle a psychedelic high. Leafly customers tell us Divine Banana effects include relaxation, euphoria, and creativity. Medical marijuana patients often choose Divine Banana when dealing with symptoms associated with anxiety, chronic pain, and depression. Bred by In House Genetics, Divine Banana features flavors like banana, cream, and diesel. The dominant terpene of this strain is unknown, but it may have some myrcene or caryophyllene content. The average price of Divine Banana typically ranges from $40-$60 per eighth. Divine Banana is a rare and sought-after strain that can provide a smooth and uplifting smoking experience. It has dense and dark green buds that are covered with orange hairs and frosty trichomes. The aroma of this strain is banana and diesel, with hints of earth and pine.",,5,,,,,,,"https://www.leafly.com/strains/divine-banana","Divine Banana","[""Banana OG"",""Divine Gelato #3""]",,28,4.6,"Hybrid"
"","","Relaxed, Happy, Euphoric","Sweet, Earthy, Vanilla","Stress, Pain, Insomnia","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","Do-Si-Dos Cake is a hybrid strain that combines the genetics of Do-Si-Dos and Wedding Cake, offering a sweet and earthy flavor profile with relaxing effects.","Do-Si-Dos Cake",,,,,,"Do-Si-Dos x Wedding Cake","Hybrid",,,,,,,
"High Times Cannabis Cup Winner","Do-Si-Dos, Do-Si-Dos Cookies","Relaxed, Happy, Euphoric, Uplifted","Sweet, Earthy, Pine, Citrus","Stress, Pain, Insomnia, Depression","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","Do-Si-Dos Cookies is a potent hybrid strain that combines the best of its parent strains, offering a sweet and earthy flavor profile with relaxing effects.","Do-Si-Dos Cookies",150,0.1,0.5,4.5,25,"Girl Scout Cookies x Face Off OG","Hybrid",,,,,,,
"","","relaxed,happy,euphoric","sweet,earthy,spicy","stress relief,pain relief,anxiety relief","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","","Do-Si-Dos Diesel",,,,,,"Do-Si-Dos x Diesel","Hybrid",,,,,,,
"","","relaxed,happy,euphoric","sweet,earthy","stress relief,pain relief","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","","Do-Si-Dos Dream",0,,,,,"Do-Si-Dos x Dream","Hybrid",,,,,,,
"","","Relaxed, Happy, Euphoric","Sweet, Earthy, Citrus","Stress, Pain, Insomnia","{""pinene"":""Present"",""myrcene"":""Present"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Dominant""}","{""yield"":""Medium"",""height"":null,""difficulty"":""Moderate"",""flowering_weeks"":null}","","Do-Si-Dos Gelato",0,,,,,"Do-Si-Dos x Gelato","Hybrid",,,,,,,
"","","Relaxed, Happy, Euphoric, Uplifted","Earthy, Sweet, Pine, Citrus","Stress, Pain, Insomnia, Depression","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","Do-Si-Dos Glue is a potent hybrid strain known for its relaxing effects and sweet, earthy flavors.","Do-Si-Dos Glue",150,0.1,0.5,4.5,25,"Do-Si-Dos x GG4","Hybrid",,,,,,,
"","","relaxed,happy,euphoric","sweet,earthy,spicy","stress relief,pain relief","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":null}","","Do-Si-Dos Haze",,,,,,"Do-Si-Dos x Haze","Hybrid",,,,,,,
"","","relaxed,happy,euphoric","sweet,earthy,spicy","stress relief,pain relief,anxiety","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","Do-Si-Dos Kush is a hybrid strain known for its sweet and earthy flavors, providing a relaxing and euphoric experience.","Do-Si-Dos Kush",0,,,,,"Do-Si-Dos x Kush","Hybrid",,,,,,,
"","","Relaxed, Happy, Euphoric, Uplifted, Creative","Earthy, Sweet, Pine, Citrus, Herbal","Stress, Pain, Insomnia, Depression, Anxiety","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","Do-Si-Dos OG is a potent hybrid strain known for its sweet, earthy flavor and relaxing effects.","Do-Si-Dos OG",200,0.1,0.5,4.5,30,"Girl Scout Cookies x Face Off OG","Hybrid",,,,,,,
"","","Relaxed, Happy, Euphoric","Sweet, Earthy, Fruity","Stress, Pain, Insomnia","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","","Do-Si-Dos Punch",,,,,,"Do-Si-Dos x Purple Punch","Hybrid",,,,,,,
"[""LEAFLY STRAIN OF THE YEAR - 2021""]",,"[""Relaxed"",""Sleepy"",""Tingly""]","[""Flowery"",""Pepper"",""Earthy""]","[""Anxiety"",""Stress"",""Pain""]","[""Limonene"",""Caryophyllene"",""Linalool""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":9}","Dosidos, also known as ""Dosi Doe,"" ""Do-Si-Dos,"" and ""Dosi"" is an indica-dominant hybrid marijuana strain with qualities similar to its parent, a GSC-phenotype. With glittering trichomes, bright pistils, and lime green and lavender leaves, Dosidos weed is a feast for the eyes. Its aroma is pungent, sweet, and earthy with slight floral funkiness. These classic OG aromas blend nicely with medical-grade body effects that lean toward the sedative side with the addition of Face Off OG genetics. Those who smoke Dosi can enjoy a stoney, in-your-face buzz off the start that melts down over the body, petrifying the consumer with relaxation that emanates outward. The dominant terpene in Dosidos is limonene.",,1234,,,,,,,"https://www.leafly.com/strains/do-si-dos","Dosidos","[""GSC"",""Face Off OG""]",,20,4.6,"Hybrid"
"[]",,"[""Talkative"",""Uplifted"",""Energetic""]","[""Woody"",""Diesel"",""Blueberry""]","[""Depression"",""Stress"",""Pain""]","[]","{""yield"":""null"",""height"":""null"",""difficulty"":""null"",""flowering_time_weeks"":null}","Dog Patch is a hybrid marijuana strain. We’re still learning about the flavors and effects of Dog Patch. If you’ve smoked this strain before, tell us about it by leaving a review.",,30,,,,,,,"https://www.leafly.com/strains/dog-patch","Dog Patch","[]",,,4.4,"Hybrid"
